Data,Apartamento,Status
2025-08-21,Apto 1,Ocupado
2025-08-21,Apto 2,Ocupado
2025-08-21,Apto 3,Ocupado
2025-08-21,Apto 4,Ocupado
2025-08-21,Apto 5,Vago
2025-08-21,Apto 6,Vago
2025-08-21,Apto 7,Vago
2025-08-21,Apto 8,Vago
2025-08-21,Apto 9,Vago
2025-08-21,Apto 10,Vago
2025-08-21,Apto 11,Vago
2025-08-21,Apto 12,Vago
2025-08-21,Apto 13,Vago
2025-08-21,Apto 14,Vago
2025-08-21,Apto 15,Vago
2025-08-21,Apto 16,Vago
